"id";"region_id";"region_title";"region_city";"all_region";"start";"end";"clean_end";"intersection_alarm_id"
"51";"9";"Київщина";"Київ";"0";"2022-02-28 08:32:11";"2022-02-28 08:44:32";"2022-02-28 08:44:32";NULL
"61";"6";"Житомирщина";"Житомир";"0";"2022-02-28 08:53:02";"2022-02-28 09:18:54";"2022-02-28 09:18:54";NULL
"62";"3";"Вінниччина";"Вінниця";"0";"2022-02-28 09:26:09";"2022-02-28 09:44:00";"2022-02-28 09:44:00";NULL
"24";"22";"Черкащина";"Умань";"0";"2022-02-28 09:31:21";"2022-02-28 10:08:24";"2022-02-28 10:08:24";NULL
"63";"9";"Київщина";"Київ";"0";"2022-02-28 12:32:01";"2022-02-28 13:05:29";"2022-02-28 13:05:29";NULL
"64";"15";"Полтавщина";"Полтава";"0";"2022-02-28 12:44:28";"2022-02-28 13:06:04";"2022-02-28 13:06:04";NULL
"65";"3";"Вінниччина";"Вінниця";"0";"2022-02-28 13:14:53";"2022-02-28 13:41:45";"2022-02-28 13:41:45";NULL
"66";"15";"Полтавщина";"Полтава";"0";"2022-02-28 13:20:51";"2022-02-28 13:23:20";"2022-02-28 13:23:20";NULL
"68";"15";"Полтавщина";"Кременчук";"0";"2022-02-28 13:23:25";"2022-02-28 13:44:21";"2022-02-28 13:44:21";NULL
"69";"14";"Одещина";"Одеса";"0";"2022-02-28 17:12:21";"2022-02-28 17:23:19";"2022-02-28 17:23:19";NULL
"70";"3";"Вінниччина";"Вінниця";"0";"2022-02-28 18:24:26";"2022-02-28 18:36:04";"2022-02-28 18:36:04";NULL
"71";"6";"Житомирщина";"Житомир";"0";"2022-02-28 18:43:25";"2022-02-28 19:14:11";"2022-02-28 19:14:11";NULL
"72";"3";"Вінниччина";"Вінниця";"0";"2022-02-28 18:52:57";"2022-02-28 19:08:12";"2022-02-28 19:08:12";NULL
"73";"9";"Київщина";"Київ";"0";"2022-02-28 19:08:50";"2022-02-28 19:34:23";"2022-02-28 19:34:23";NULL
"74";"13";"Миколаївщина";"Миколаїв";"0";"2022-02-28 19:14:36";"2022-02-28 21:50:53";"2022-02-28 21:50:53";NULL
"75";"3";"Вінниччина";"Вінниця";"0";"2022-02-28 19:43:02";"2022-02-28 20:00:23";"2022-02-28 20:00:23";NULL
"76";"6";"Житомирщина";"Житомир";"0";"2022-02-28 19:43:32";"2022-02-28 20:08:23";"2022-02-28 20:08:23";NULL
"77";"3";"Вінниччина";"Вінниця";"0";"2022-02-28 20:48:13";"2022-02-28 21:15:48";"2022-02-28 21:15:48";NULL
"78";"9";"Київщина";"Київ";"0";"2022-02-28 20:49:00";"2022-02-28 21:46:34";"2022-02-28 21:46:34";NULL
"79";"16";"Рівненщина";"Рівненська обл.";"1";"2022-02-28 20:54:29";"2022-02-28 21:10:45";"2022-02-28 21:10:45";NULL
"80";"12";"Львівщина";"Львів";"0";"2022-02-28 20:55:59";"2022-02-28 21:45:46";"2022-02-28 21:45:46";NULL
"81";"18";"Тернопільщина";"Тернопільська обл.";"1";"2022-02-28 20:57:28";"2022-02-28 21:56:51";"2022-02-28 21:56:51";NULL
"67";"4";"Дніпропетровщина";"Дніпро";"0";"2022-02-28 20:57:38";"2022-02-28 21:22:12";"2022-02-28 21:22:12";NULL
"82";"21";"Хмельниччина";"Хмельницька обл.";"1";"2022-02-28 20:58:46";"2022-02-28 21:04:13";"2022-02-28 21:04:13";NULL
"83";"2";"Волинь";"Волинська обл.";"1";"2022-02-28 21:01:14";"2022-02-28 22:02:49";"2022-02-28 22:02:49";NULL
"84";"5";"️Донеччина";"Маріуполь";"0";"2022-02-28 21:01:54";"2022-02-28 21:28:04";"2022-02-28 21:28:04";NULL
"85";"4";"Дніпропетровщина";"Петропавлівка";"0";"2022-02-28 21:09:38";"2022-02-28 21:26:00";"2022-02-28 21:26:00";NULL
"86";"4";"Дніпропетровщина";"Кривий Ріг";"0";"2022-02-28 21:09:59";"2022-02-28 21:35:54";"2022-02-28 21:35:54";NULL
"87";"23";"Чернігівщина";"Чернігів";"0";"2022-02-28 21:25:33";"2022-02-28 21:39:45";"2022-02-28 21:39:45";NULL
"88";"1";"Буковина";"Чернівецька обл.";"1";"2022-02-28 21:31:03";"2022-02-28 21:33:02";"2022-02-28 21:33:02";NULL
"89";"4";"Дніпропетровщина";"Дніпро";"0";"2022-02-28 22:02:01";"2022-02-28 22:12:25";"2022-02-28 22:12:25";NULL
"90";"9";"Київщина";"Київ";"0";"2022-02-28 23:10:31";"2022-02-28 23:49:09";"2022-02-28 23:49:09";NULL
"91";"1";"Буковина";"Чернівці";"0";"2022-02-28 23:15:54";"2022-03-01 00:01:51";"2022-03-01 00:01:51";"95"
"92";"15";"Полтавщина";"Полтавська обл.";"1";"2022-02-28 23:16:21";"2022-02-28 23:51:18";"2022-02-28 23:51:18";NULL
"93";"2";"Волинь";"Волинська обл.";"1";"2022-02-28 23:17:40";"2022-02-28 23:52:34";"2022-02-28 23:52:34";NULL
"94";"23";"Чернігівщина";"Чернігів";"0";"2022-02-28 23:18:13";"2022-02-28 23:45:49";"2022-02-28 23:45:49";NULL
"95";"1";"Буковина";"Чернівецька обл.";"1";"2022-02-28 23:18:55";"2022-02-28 23:59:58";"2022-02-28 23:59:58";NULL
"96";"6";"Житомирщина";"Житомир";"0";"2022-02-28 23:20:08";"2022-02-28 23:50:31";"2022-02-28 23:50:31";NULL
"97";"21";"Хмельниччина";"Хмельницька обл.";"1";"2022-02-28 23:24:41";"2022-03-01 00:04:57";"2022-03-01 00:04:57";NULL
"98";"4";"Дніпропетровщина";"Кривий Ріг";"0";"2022-02-28 23:29:01";"2022-02-28 23:52:14";"2022-02-28 23:52:14";NULL
"99";"9";"Київщина";"Київ";"0";"2022-03-01 02:29:23";"2022-03-01 02:42:40";"2022-03-01 02:42:40";NULL
"100";"3";"Вінниччина";"Вінниця";"0";"2022-03-01 04:45:41";"2022-03-01 05:31:16";"2022-03-01 05:31:16";NULL
"101";"16";"Рівненщина";"Рівненська обл.";"1";"2022-03-01 05:15:46";"2022-03-01 05:26:45";"2022-03-01 05:26:45";NULL
"102";"18";"Тернопільщина";"Тернопільська обл.";"1";"2022-03-01 05:20:07";"2022-03-01 06:06:30";"2022-03-01 06:06:30";NULL
"103";"10";"Кіровоградщина";"Кіровоградська обл.";"1";"2022-03-01 05:47:33";"2022-03-01 05:52:44";"2022-03-01 05:52:44";NULL
"104";"14";"Одещина";"Ізмаїл";"0";"2022-03-01 07:29:11";"2022-03-01 07:42:59";"2022-03-01 07:42:59";NULL
"105";"23";"Чернігівщина";"Чернігів";"0";"2022-03-01 07:41:18";"2022-03-01 07:53:21";"2022-03-01 07:53:21";NULL
"106";"4";"Дніпропетровщина";"Дніпро";"0";"2022-03-01 08:23:23";"2022-03-01 08:49:21";"2022-03-01 08:49:21";NULL
"107";"13";"Миколаївщина";"Первомайськ";"0";"2022-03-01 08:48:52";"2022-03-01 12:47:07";"2022-03-01 12:47:07";NULL
"108";"9";"Київщина";"Київ";"0";"2022-03-01 08:54:42";"2022-03-01 09:24:12";"2022-03-01 09:24:12";NULL
"109";"6";"Житомирщина";"Житомир";"0";"2022-03-01 08:58:34";"2022-03-01 09:24:49";"2022-03-01 09:24:49";NULL
"110";"5";"️Донеччина";"Краматорськ";"0";"2022-03-01 09:12:50";"2022-03-01 09:40:04";"2022-03-01 09:40:04";NULL
"111";"23";"Чернігівщина";"Чернігів";"0";"2022-03-01 09:13:00";"2022-03-01 09:24:36";"2022-03-01 09:24:36";NULL
"112";"9";"Київщина";"Київ";"0";"2022-03-01 09:29:18";"2022-03-01 09:53:49";"2022-03-01 09:53:49";NULL
"113";"10";"Кіровоградщина";"Кіровоградська обл.";"1";"2022-03-01 09:33:31";"2022-03-01 10:09:55";"2022-03-01 10:09:55";NULL
"114";"2";"Волинь";"Волинська обл.";"1";"2022-03-01 10:01:45";"2022-03-01 10:49:12";"2022-03-01 10:49:12";NULL
"115";"23";"Чернігівщина";"Чернігів";"0";"2022-03-01 10:09:37";"2022-03-01 11:02:43";"2022-03-01 11:02:43";NULL
"116";"22";"Черкащина";"Черкаська обл.";"1";"2022-03-01 10:26:07";"2022-03-01 11:00:06";"2022-03-01 11:00:06";NULL
"117";"6";"Житомирщина";"Житомир";"0";"2022-03-01 10:30:57";"2022-03-01 10:38:34";"2022-03-01 10:38:34";NULL
"118";"10";"Кіровоградщина";"Кіровоградська обл.";"1";"2022-03-01 10:53:26";"2022-03-01 16:10:16";"2022-03-01 16:10:16";NULL
"119";"14";"Одещина";"Ізмаїл";"0";"2022-03-01 10:56:29";"2022-03-01 11:07:07";"2022-03-01 11:07:07";NULL
"120";"5";"️Донеччина";"Краматорськ";"0";"2022-03-01 10:57:02";"2022-03-01 11:05:40";"2022-03-01 11:05:40";NULL
"121";"9";"Київщина";"Київ";"0";"2022-03-01 10:58:37";"2022-03-01 11:20:41";"2022-03-01 11:20:41";NULL
"122";"6";"Житомирщина";"Житомир";"0";"2022-03-01 11:06:39";"2022-03-01 11:24:43";"2022-03-01 11:24:43";NULL
"123";"21";"Хмельниччина";"Хмельницька обл.";"1";"2022-03-01 11:14:50";"2022-03-01 11:28:19";"2022-03-01 11:28:19";NULL
"124";"23";"Чернігівщина";"Чернігів";"0";"2022-03-01 11:35:41";"2022-03-01 12:14:28";"2022-03-01 12:14:28";NULL
"125";"3";"Вінниччина";"Вінниця";"0";"2022-03-01 12:08:18";"2022-03-01 12:36:00";"2022-03-01 12:36:00";NULL
"126";"9";"Київщина";"Київ";"0";"2022-03-01 12:38:34";"2022-03-01 13:00:21";"2022-03-01 13:00:21";NULL
"127";"6";"Житомирщина";"Житомир";"0";"2022-03-01 12:42:10";"2022-03-01 13:02:38";"2022-03-01 13:02:38";NULL
"128";"3";"Вінниччина";"Вінниця";"0";"2022-03-01 14:12:14";"2022-03-01 14:44:10";"2022-03-01 14:44:10";NULL
"129";"15";"Полтавщина";"Лубни";"0";"2022-03-01 14:22:46";"2022-03-01 14:29:19";"2022-03-01 14:29:19";NULL
"130";"3";"Вінниччина";"Вінниця";"0";"2022-03-01 15:08:14";"2022-03-01 15:44:25";"2022-03-01 15:44:25";NULL
"131";"4";"Дніпропетровщина";"Кривий Ріг";"0";"2022-03-01 15:10:22";"2022-03-01 15:53:31";"2022-03-01 15:53:31";NULL
"132";"4";"Дніпропетровщина";"Дніпро";"0";"2022-03-01 15:14:16";"2022-03-01 15:39:56";"2022-03-01 15:39:56";NULL
"133";"18";"Тернопільщина";"Тернопільська обл.";"1";"2022-03-01 15:35:27";"2022-03-01 16:19:05";"2022-03-01 16:19:05";NULL
"134";"5";"️Донеччина";"Краматорськ";"0";"2022-03-01 15:36:27";"2022-03-01 16:15:23";"2022-03-01 16:15:23";NULL
"135";"9";"Київщина";"Київ";"0";"2022-03-01 15:39:43";"2022-03-01 15:51:30";"2022-03-01 15:51:30";NULL
"136";"24";"Івано-Франківщина";"Калуш";"0";"2022-03-01 15:39:52";"2022-03-01 16:05:55";"2022-03-01 16:05:55";"139"
"137";"14";"Одещина";"Одеса";"0";"2022-03-01 15:40:12";"2022-03-01 15:49:23";"2022-03-01 15:49:23";NULL
"138";"12";"Львівщина";"Львів";"0";"2022-03-01 15:42:13";"2022-03-01 15:59:12";"2022-03-01 15:59:12";NULL
"139";"24";"Івано-Франківщина";"Івано-Франківська обл.";"1";"2022-03-01 15:42:44";"2022-03-01 15:57:44";"2022-03-01 15:57:44";NULL
"140";"9";"Київщина";"Київ";"0";"2022-03-01 16:22:14";"2022-03-01 16:34:15";"2022-03-01 16:34:15";NULL
"141";"3";"Вінниччина";"Вінниця";"0";"2022-03-01 16:29:36";"2022-03-01 16:44:01";"2022-03-01 16:44:01";NULL
"142";"15";"Полтавщина";"Лубни";"0";"2022-03-01 16:33:36";"2022-03-01 16:46:17";"2022-03-01 16:46:17";NULL
"143";"3";"Вінниччина";"Вінниця";"0";"2022-03-01 16:46:46";"2022-03-01 17:15:00";"2022-03-01 17:15:00";NULL
"144";"2";"Волинь";"Волинська обл.";"1";"2022-03-01 20:33:07";"2022-03-01 20:38:02";"2022-03-01 20:38:02";NULL
"145";"21";"Хмельниччина";"Хмельницька обл.";"1";"2022-03-01 20:35:53";"2022-03-01 20:46:53";"2022-03-01 20:46:53";NULL
"146";"21";"Хмельниччина";"Кам'янець-Подільський";"0";"2022-03-01 20:36:40";"2022-03-01 20:45:07";"2022-03-01 20:45:07";NULL
"147";"4";"Дніпропетровщина";"Кривий Ріг";"0";"2022-03-01 21:00:48";"2022-03-01 21:21:15";"2022-03-01 21:21:15";NULL
"148";"13";"Миколаївщина";"Миколаїв";"0";"2022-03-01 21:30:25";"2022-03-01 22:25:21";"2022-03-01 22:25:21";NULL
"149";"4";"Дніпропетровщина";"Кривий Ріг";"0";"2022-03-01 21:56:52";"2022-03-01 22:31:38";"2022-03-01 22:31:38";NULL
"150";"9";"Київщина";"Київ";"0";"2022-03-01 22:05:36";"2022-03-01 23:49:30";"2022-03-01 23:49:30";NULL
"151";"3";"Вінниччина";"Вінниця";"0";"2022-03-01 22:07:31";"2022-03-01 22:45:33";"2022-03-01 22:45:33";NULL
"152";"21";"Хмельниччина";"Кам'янець-Подільський";"0";"2022-03-01 22:13:31";"2022-03-01 23:36:59";"2022-03-01 23:36:59";NULL
"153";"15";"Полтавщина";"Лубни";"0";"2022-03-01 22:14:14";"2022-03-01 22:34:35";"2022-03-01 22:34:35";NULL
"154";"10";"Кіровоградщина";"Кропивницький";"0";"2022-03-01 22:15:44";"2022-03-01 23:10:00";"2022-03-01 23:10:00";NULL
"155";"10";"Кіровоградщина";"Веселівка";"0";"2022-03-01 22:15:44";"2022-03-01 23:10:00";"2022-03-01 23:10:00";NULL
"156";"4";"Дніпропетровщина";"Дніпро";"0";"2022-03-02 06:02:29";"2022-03-02 06:20:20";"2022-03-02 06:20:20";NULL
"157";"23";"Чернігівщина";"Чернігів";"0";"2022-03-02 07:39:57";"2022-03-02 08:14:59";"2022-03-02 08:14:59";NULL
"158";"4";"Дніпропетровщина";"Дніпро";"0";"2022-03-02 08:04:23";"2022-03-02 08:27:22";"2022-03-02 08:27:22";NULL
"159";"6";"Житомирщина";"Житомир";"0";"2022-03-02 08:10:35";"2022-03-02 08:39:51";"2022-03-02 08:39:51";NULL
"160";"22";"Черкащина";"Черкаси";"0";"2022-03-02 08:11:06";"2022-03-02 08:32:40";"2022-03-02 08:32:40";NULL
"161";"4";"Дніпропетровщина";"Кривий Ріг";"0";"2022-03-02 08:12:17";"2022-03-02 08:25:02";"2022-03-02 08:25:02";NULL
"162";"13";"Миколаївщина";"Первомайськ";"0";"2022-03-02 09:26:59";"2022-03-02 09:35:08";"2022-03-02 09:35:08";NULL
"163";"23";"Чернігівщина";"Чернігів";"0";"2022-03-02 09:52:06";"2022-03-02 10:03:04";"2022-03-02 10:03:04";NULL
"164";"3";"Вінниччина";"Вінниця";"0";"2022-03-02 10:16:45";"2022-03-02 10:48:44";"2022-03-02 10:25:01";"172"
"165";"9";"Київщина";"Київ";"0";"2022-03-02 10:18:11";"2022-03-02 10:53:18";"2022-03-02 10:22:41";"170"
"166";"6";"Житомирщина";"Житомир";"0";"2022-03-02 10:20:16";"2022-03-02 11:02:11";"2022-03-02 11:02:11";NULL
"167";"2";"Волинь";"Волинська обл.";"1";"2022-03-02 10:21:09";"2022-03-02 10:49:09";"2022-03-02 10:49:09";NULL
"168";"8";"Запоріжжя";"Запоріжжя";"0";"2022-03-02 10:21:20";"2022-03-02 10:53:01";"2022-03-02 10:53:01";NULL
"169";"12";"Львівщина";"Львів";"0";"2022-03-02 10:21:38";"2022-03-02 10:53:48";"2022-03-02 10:53:48";NULL
"170";"9";"Київщина";"Київська обл.";"1";"2022-03-02 10:22:41";"2022-03-02 11:13:07";"2022-03-02 11:13:07";NULL
"171";"22";"Черкащина";"Черкаська обл.";"1";"2022-03-02 10:24:04";"2022-03-02 11:02:47";"2022-03-02 11:02:47";NULL
"172";"3";"Вінниччина";"Вінницька обл.";"1";"2022-03-02 10:25:01";"2022-03-02 10:57:30";"2022-03-02 10:57:30";NULL
"173";"21";"Хмельниччина";"Кам'янець-Подільський";"0";"2022-03-02 10:25:25";"2022-03-02 10:57:01";"2022-03-02 10:57:01";NULL
"174";"14";"Одещина";"Одеса";"0";"2022-03-02 10:25:48";"2022-03-02 10:59:39";"2022-03-02 10:59:39";NULL
"175";"16";"Рівненщина";"Рівне";"0";"2022-03-02 10:28:27";"2022-03-02 10:34:19";"2022-03-02 10:34:19";NULL
"176";"21";"Хмельниччина";"Хмельницький";"0";"2022-03-02 10:28:27";"2022-03-02 10:34:19";"2022-03-02 10:34:19";NULL
"177";"10";"Кіровоградщина";"Олександрія";"0";"2022-03-02 10:29:19";"2022-03-02 10:53:50";"2022-03-02 10:53:50";NULL
"178";"24";"Івано-Франківщина";"Калуш";"0";"2022-03-02 10:38:48";"2022-03-02 10:59:54";"2022-03-02 10:59:54";NULL
"179";"9";"Київщина";"Київ";"0";"2022-03-02 12:36:23";"2022-03-02 12:57:00";"2022-03-02 12:57:00";NULL
"180";"6";"Житомирщина";"Житомир";"0";"2022-03-02 13:28:20";"2022-03-02 13:50:44";"2022-03-02 13:50:44";NULL
"181";"9";"Київщина";"Біла Церква";"0";"2022-03-02 13:29:45";"2022-03-02 14:37:16";"2022-03-02 14:37:16";NULL
"182";"23";"Чернігівщина";"Чернігівська обл.";"1";"2022-03-02 13:31:07";"2022-03-02 14:09:23";"2022-03-02 14:09:23";NULL
"183";"6";"Житомирщина";"Житомир";"0";"2022-03-02 14:18:16";"2022-03-02 14:37:59";"2022-03-02 14:37:59";NULL
"184";"23";"Чернігівщина";"Чернігів";"0";"2022-03-02 15:03:35";"2022-03-02 15:06:23";"2022-03-02 15:06:23";NULL
"185";"3";"Вінниччина";"Вінниця";"0";"2022-03-02 15:33:52";"2022-03-02 15:55:50";"2022-03-02 15:55:50";NULL
"186";"6";"Житомирщина";"Житомир";"0";"2022-03-02 15:35:48";"2022-03-02 16:03:42";"2022-03-02 16:03:42";NULL
"187";"22";"Черкащина";"Умань";"0";"2022-03-02 15:37:47";"2022-03-02 16:10:40";"2022-03-02 16:10:40";NULL
"188";"22";"Черкащина";"Жашків";"0";"2022-03-02 15:37:47";"2022-03-02 16:10:40";"2022-03-02 16:10:40";NULL
"189";"9";"Київщина";"Київ";"0";"2022-03-02 16:15:32";"2022-03-02 16:29:08";"2022-03-02 16:29:08";NULL
"190";"15";"Полтавщина";"Лубни";"0";"2022-03-02 16:22:00";"2022-03-02 16:30:46";"2022-03-02 16:30:46";NULL
"191";"6";"Житомирщина";"Житомир";"0";"2022-03-02 16:22:27";"2022-03-02 16:30:56";"2022-03-02 16:30:56";NULL
"192";"22";"Черкащина";"Жашків";"0";"2022-03-02 16:23:35";"2022-03-02 18:45:43";"2022-03-02 18:45:43";NULL
"193";"9";"Київщина";"Васильків";"0";"2022-03-02 16:32:15";"2022-03-02 16:41:27";"2022-03-02 16:41:27";NULL
"194";"9";"Київщина";"Біла Церква";"0";"2022-03-02 16:32:15";"2022-03-02 16:41:27";"2022-03-02 16:41:27";NULL
"195";"19";"Харківщина";"Харків";"0";"2022-03-02 16:39:38";"2022-03-02 17:32:10";"2022-03-02 17:32:10";NULL
"196";"23";"Чернігівщина";"Чернігів";"0";"2022-03-02 16:49:57";"2022-03-02 17:21:26";"2022-03-02 17:21:26";NULL
"197";"16";"Рівненщина";"Рівненська обл.";"1";"2022-03-02 17:29:28";"2022-03-02 17:40:01";"2022-03-02 17:40:01";NULL
"198";"2";"Волинь";"Волинська обл.";"1";"2022-03-02 17:31:18";"2022-03-02 17:42:23";"2022-03-02 17:42:23";NULL
